"Fund","As of Date","Balance","Currency"
"HRT1","19 Feb 2026","0","USD"
"HRV5","19 Feb 2026","2038789.24","USD"
"HR21","19 Feb 2026","5542017.64","CAD"
"HRTR","19 Feb 2026","0","CAD"
"HRTM","19 Feb 2026","0","MYR"
"HRTM","19 Feb 2026","314246.04","SEK"
"HRTM","19 Feb 2026","435274.03","USD"
"HRQH","19 Feb 2026","93127.92","USD"
"HRTF","19 Feb 2026","0","NOK"
"HRQ2","19 Feb 2026","28367.81","CAD"
"HRCJ","19 Feb 2026","0","USD"
"HRTX","19 Feb 2026","407.68","CHF"
"HRTX","19 Feb 2026","1122.31","DKK"
"HRTX","19 Feb 2026","1986","JPY"
"HRTX","19 Feb 2026","1276.9","NOK"
"HRAV","19 Feb 2026","0","CZK"
"HRTG","19 Feb 2026","0","AED"
"HRTG","19 Feb 2026","519716.16","CAD"
"HRTG","19 Feb 2026","0","KWD"
"HRTG","19 Feb 2026","0","PLN"
"HRVX","19 Feb 2026","139750.5","USD"
"HRT4","19 Feb 2026","0","CAD"
"HRTJ","19 Feb 2026","581347.5","CAD"
"HRTQ","19 Feb 2026","0","CAD"
"HRTQ","19 Feb 2026","0","EUR"
"HRVL","19 Feb 2026","3005937.94","USD"
"HRQE","19 Feb 2026","11720.95","CAD"
"HRTE","19 Feb 2026","0","USD"
"HRQA","19 Feb 2026","28030.2","USD"
"HRVQ","19 Feb 2026","0","CAD"
"HRVR","19 Feb 2026","2354.08","CAD"
"HRQM","19 Feb 2026","28979.75","USD"
"HRT9","19 Feb 2026","4866661.23","CAD"
"HR21","19 Feb 2026","9849165.24","USD"
"HRVF","19 Feb 2026","53652.32","CAD"
"HRVF","19 Feb 2026","0","USD"
"HRVJ","19 Feb 2026","1379.37","CAD"
"HRQZ","19 Feb 2026","0","USD"
"HRTM","19 Feb 2026","19179205.32","CAD"
"HRTM","19 Feb 2026","0","ILS"
"HRTM","19 Feb 2026","0","THB"
"HRTM","19 Feb 2026","0","TRY"
"HRA6","19 Feb 2026","0","USD"
"HRQH","19 Feb 2026","4672.94","CAD"
"HRCH","19 Feb 2026","2419.71","CAD"
"HRCH","19 Feb 2026","42116.93","USD"
"HRTB","19 Feb 2026","0","CAD"
"HRTF","19 Feb 2026","543.17","AUD"
"HRTF","19 Feb 2026","246642.9","CAD"
"HRTF","19 Feb 2026","0","CHF"
"HRTF","19 Feb 2026","0","EUR"
"HRTF","19 Feb 2026","0","SEK"
"HRTF","19 Feb 2026","0","ZAR"
"HRRA","19 Feb 2026","2473661.96","CAD"
"HRTX","19 Feb 2026","0","CNY"
"HRTX","19 Feb 2026","1124.43","EUR"
"HRA9","19 Feb 2026","13186.87","USD"
"HRTP","19 Feb 2026","745333.34","USD"
"HRAV","19 Feb 2026","0","CNY"
"HRAV","19 Feb 2026","0","GBP"
"HRAV","19 Feb 2026","0","ILS"
"HRAV","19 Feb 2026","0","SGD"
"HRVO","19 Feb 2026","0","USD"
"HRV9","19 Feb 2026","4102.71","CAD"
"HRT0","19 Feb 2026","25011.05","USD"
"HRTG","19 Feb 2026","122220.39","USD"
"HRTY","19 Feb 2026","293517.76","USD"
"HRQJ","19 Feb 2026","5896.16","CAD"
"HRQJ","19 Feb 2026","935379.15","USD"
"HRQX","19 Feb 2026","68541.4","CAD"
"HRT4","19 Feb 2026","0","CHF"
"HRCG","19 Feb 2026","20518.37","USD"
"HRTU","19 Feb 2026","0","CAD"
"HRTU","19 Feb 2026","0","USD"
"HRVR","19 Feb 2026","671904.43","USD"
"HRQL","19 Feb 2026","131431.33","USD"
"HRQN","19 Feb 2026","3888.19","USD"
"HRQD","19 Feb 2026","478703.12","USD"
"HRQF","19 Feb 2026","517430.03","USD"
"HRQZ","19 Feb 2026","89318.38","CAD"
"HRTM","19 Feb 2026","0","AUD"
"HRTM","19 Feb 2026","0","CNY"
"HRTM","19 Feb 2026","0","PLN"
"HRTM","19 Feb 2026","0","RON"
"HRTM","19 Feb 2026","0","SGD"
"HRTM","19 Feb 2026","0","ZAR"
"HRA3","19 Feb 2026","297351.8","CAD"
"HRVY","19 Feb 2026","2374663.15","USD"
"HRA7","19 Feb 2026","4231.58","CAD"
"HRQ2","19 Feb 2026","0","USD"
"HRCJ","19 Feb 2026","92749.81","CAD"
"HRTX","19 Feb 2026","0","HUF"
"HRTX","19 Feb 2026","0","SGD"
"HRTX","19 Feb 2026","0","ZAR"
"HRV1","19 Feb 2026","10820.86","CAD"
"HRQW","19 Feb 2026","0","USD"
"HRQ6","19 Feb 2026","57242.45","USD"
"HRAV","19 Feb 2026","0","EUR"
"HRAV","19 Feb 2026","0","MXN"
"HRAV","19 Feb 2026","0","SEK"
"HRV3","19 Feb 2026","4473.23","CAD"
"HRQ1","19 Feb 2026","20681.2","USD"
"HRTG","19 Feb 2026","0","HUF"
"HRTG","19 Feb 2026","1109.98","SGD"
"HRTG","19 Feb 2026","0","TRY"
"HRTY","19 Feb 2026","4686.53","CAD"
"HRV2","19 Feb 2026","12694.96","CAD"
"HRQG","19 Feb 2026","132398.85","USD"
"HRV6","19 Feb 2026","149742.75","USD"
"HRV5","19 Feb 2026","6773.79","CAD"
"HRQ5","19 Feb 2026","1742.94","CAD"
"HRT9","19 Feb 2026","6399164.77","USD"
"HRTM","19 Feb 2026","190612.44","EUR"
"HRA6","19 Feb 2026","0","CAD"
"HRQY","19 Feb 2026","33872.28","CAD"
"HRQ4","19 Feb 2026","1572.38","CAD"
"HRA7","19 Feb 2026","35488.25","USD"
"HRTB","19 Feb 2026","0","USD"
"HRTF","19 Feb 2026","0","DKK"
"HRTF","19 Feb 2026","0","NZD"
"HRVU","19 Feb 2026","6564.86","CAD"
"HRTS","19 Feb 2026","758846.49","USD"
"HRTX","19 Feb 2026","294308.13","CAD"
"HRTX","19 Feb 2026","21443.83","GBP"
"HRTX","19 Feb 2026","0","SEK"
"HRTX","19 Feb 2026","0","TRY"
"HRQ6","19 Feb 2026","1607.9","CAD"
"HRTH","19 Feb 2026","18144446.63","CAD"
"HRAV","19 Feb 2026","0","CAD"
"HRAV","19 Feb 2026","0","TRY"
"HRAV","19 Feb 2026","0","ZAR"
"HRVO","19 Feb 2026","72396.38","CAD"
"HRV4","19 Feb 2026","662377.21","USD"
"HRCF","19 Feb 2026","13661.52","USD"
"HRTG","19 Feb 2026","0","MYR"
"HRTG","19 Feb 2026","0","SEK"
"HRAS","19 Feb 2026","2518949.27","USD"
"HRAZ","19 Feb 2026","0","CAD"
"HRAZ","19 Feb 2026","0","USD"
"HRQG","19 Feb 2026","2454.26","CAD"
"HRQX","19 Feb 2026","0","USD"
"HRT4","19 Feb 2026","0","EUR"
"HRTQ","19 Feb 2026","0","JPY"
"HRVG","19 Feb 2026","572648.15","CAD"
"HRVN","19 Feb 2026","61476.55","CAD"
"HRQ3","19 Feb 2026","981.13","USD"
"HRQM","19 Feb 2026","93520.26","CAD"
"HRQN","19 Feb 2026","45737.46","CAD"
"HRQV","19 Feb 2026","15769.64","CAD"
"HRQV","19 Feb 2026","0","USD"
"HRTM","19 Feb 2026","347919.72","GBP"
"HRTM","19 Feb 2026","0","HKD"
"HRTM","19 Feb 2026","0","JPY"
"HRTM","19 Feb 2026","0","PHP"
"HRTM","19 Feb 2026","0","RUB"
"HRTF","19 Feb 2026","80363.55","USD"
"HRAX","19 Feb 2026","206595.28","CAD"
"HRAX","19 Feb 2026","1.15","USD"
"HRV8","19 Feb 2026","5027.62","CAD"
"HRTX","19 Feb 2026","823.72","NZD"
"HRA9","19 Feb 2026","14013.28","CAD"
