Client Fund,Trade ID,Transaction Type,FX Type,Trade Date,Contractual Settlement Date,FX Buy/Sell,Broker Name,Exchange Rate,Amount Bought,Currency Bought,Amount Sold,Currency Sold,Base Currency Code,Base Current Value,Unrealized Gain/Loss,Days Past Due,Period End Date
HRCG,26BJJBCC9VZ,KSELL,S,02/13/2026,03/15/2026,S,ACCT CURR ADJ,0.730007,696585.320000,CAD,505576.130000,USD,CAD,692563.460000,4021.860000,0.000000,02/18/2026
HRTA,26AMKBB6MZ8,KSELL,F,01/21/2026,02/19/2026,S,BANQUE NATIONALE DU CANADA,0.730007,62137073.920000,CAD,45079000.000000,USD,CAD,61751468.160000,385605.760000,0.000000,02/18/2026
HRTA,26AMKBB5BKS,KSELL,F,01/21/2026,02/19/2026,S,ROYAL BANK OF CANADA,0.730007,62173632.990000,CAD,45079000.000000,USD,CAD,61751468.160000,422164.830000,0.000000,02/18/2026
HRTA,26ASKBB4B9D,KSELL,F,01/29/2026,03/05/2026,S,CANADIAN IMPERIAL BANK OF COMMERCE,0.730007,66539312.460000,CAD,49194000.000000,USD,CAD,67348689.640000,-809377.180000,0.000000,02/18/2026
HRTA,26ASKBB4DSF,KSELL,F,01/29/2026,03/05/2026,S,TORONTO DOMINION BANK,0.730007,66648277.170000,CAD,49194000.000000,USD,CAD,67348689.640000,-700412.470000,0.000000,02/18/2026
HRTA,26BCKBB6JJX,KSELL,F,02/04/2026,03/20/2026,S,BANQUE NATIONALE DU CANADA,0.730007,72564073.910000,CAD,53161000.000000,USD,CAD,72733621.860000,-169547.950000,0.000000,02/18/2026
HRTA,26BCKBB6GWL,KSELL,F,02/04/2026,03/20/2026,S,ROYAL BANK OF CANADA,0.730007,72590016.480000,CAD,53161000.000000,USD,CAD,72733621.860000,-143605.380000,0.000000,02/18/2026
HRTA,26BHKBB5TNZ,KSELL,F,02/11/2026,03/26/2026,S,BANK OF MONTREAL,0.730007,39780871.900000,CAD,29396000.000000,USD,CAD,40208566.250000,-427694.350000,0.000000,02/18/2026
HRTA,26BHKBB5TMB,KSELL,F,02/11/2026,03/26/2026,S,TORONTO DOMINION BANK,0.730007,39756825.970000,CAD,29396000.000000,USD,CAD,40208566.250000,-451740.280000,0.000000,02/18/2026
HRTA,26BHKBB5TNH,KSELL,F,02/11/2026,03/26/2026,S,CANADIAN IMPERIAL BANK OF COMMERCE,0.730007,39779990.020000,CAD,29396000.000000,USD,CAD,40208566.250000,-428576.230000,0.000000,02/18/2026
HRTB,26BCKBB6GW7,KSELL,F,02/04/2026,03/20/2026,S,BANQUE NATIONALE DU CANADA,0.730007,8667667.450000,CAD,6350000.000000,USD,CAD,8687919.690000,-20252.240000,0.000000,02/18/2026
HRTB,26BCKBB6H03,KSELL,F,02/04/2026,03/20/2026,S,ROYAL BANK OF CANADA,0.730007,8670766.250000,CAD,6350000.000000,USD,CAD,8687919.690000,-17153.440000,0.000000,02/18/2026
HRTB,26AMKBB5BFL,KSELL,F,01/21/2026,02/19/2026,S,ROYAL BANK OF CANADA,0.730007,12470862.030000,CAD,9042000.000000,USD,CAD,12386183.700000,84678.330000,0.000000,02/18/2026
HRTB,26AMKBB5BD0,KSELL,F,01/21/2026,02/19/2026,S,BANQUE NATIONALE DU CANADA,0.730007,12463528.970000,CAD,9042000.000000,USD,CAD,12386183.700000,77345.270000,0.000000,02/18/2026
HRAZ,26ASKBB4B58,KSELL,F,01/29/2026,03/05/2026,S,CANADIAN IMPERIAL BANK OF COMMERCE,0.730007,123548275.780000,CAD,91342000.000000,USD,CAD,125051103.970000,-1502828.190000,0.000000,02/18/2026
HRAZ,26ASKBB4D95,KSELL,F,01/29/2026,03/05/2026,S,TORONTO DOMINION BANK,0.730007,123750598.310000,CAD,91342000.000000,USD,CAD,125051103.970000,-1300505.660000,0.000000,02/18/2026
HRAZ,26BHKBB5XX5,KSELL,F,02/11/2026,03/26/2026,S,TORONTO DOMINION BANK,0.730007,78599391.010000,CAD,58116000.000000,USD,CAD,79492483.200000,-893092.190000,0.000000,02/18/2026
HRAZ,26BHKBB5THP,KSELL,F,02/11/2026,03/26/2026,S,CANADIAN IMPERIAL BANK OF COMMERCE,0.730007,78645186.420000,CAD,58116000.000000,USD,CAD,79492483.200000,-847296.780000,0.000000,02/18/2026
HRVQ,26AMKBB415J,KSELL,F,01/21/2026,02/19/2026,S,BANQUE NATIONALE DU CANADA,0.730007,35838504.000000,CAD,26000000.000000,USD,CAD,35616100.000000,222404.000000,0.000000,02/18/2026
