FundID,ISIN,CUSIP,Ticker,SEDOL,Basket Shares,Currency,Country Restriction,Trade Country,IDENTIFIER,CIN,SSC_ASSET_ID,ROUND LOT,TIP FACTOR,PAR,INTEREST RATE,MATURITY DATE,FUND TICKER,FUND NAME,BASKET DATE,CORPORATE ACTION FACTOR,INTEREST FACTOR,SUPPRESSPRICE,SUPPLEMENTAL_ID_1,SUPPLEMENTAL_ID_2,RIC,BBG,DERIV_TYPE
HRCJ,,,CM,,-12,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.CM..C131.20260220,,CM    260220C00131000,CM CN 02/20/26 C131. Equity,OP
HRQA,,,CM,,-87,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.CM..C132.20260220,,CM    260220C00132000,CM CN 02/20/26 C132. Equity,OP
HRQM,,,CM,,-51,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.CM..C132.20260220,,CM    260220C00132000,CM CN 02/20/26 C132. Equity,OP
HRCJ - TD,,,CM,,-21,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.CM..P122.20260220,,CM    260220P00122000,CM CN 02/20/26 P122. Equity,OP
HRT0,,,CNQ,,-114,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.CNQ..C48-5.20260220,,CNQ   260220C00048500,CNQ CN 02/20/26 C48.5 Equity,OP
HRQ1,,,CNQ,,-802,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.CNQ..C49.20260220,,CNQ   260220C00049000,CNQ CN 02/20/26 C49. Equity,OP
HRQR,,,CNQ,,-252,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.CNQ..C49.20260220,,CNQ   260220C00049000,CNQ CN 02/20/26 C49. Equity,OP
HRQA,,,CNQ,,-254,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.CNQ..C49-5.20260220,,CNQ   260220C00049500,CNQ CN 02/20/26 C49.5 Equity,OP
HRQM,,,CNR,,-29,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.CNR..C140.20260220,,CNR   260220C00140000,CNR CN 02/20/26 C140. Equity,OP
HRQP,,,COIN,,-12,USD,N,US,,,,,,,,,,,,,,,EO.US.US.COIN..C217-5.20260220,,COIN  260220C00217500,COIN US 02/20/26 C217.5 EQUITY,OP
HRV2,,,COIN,,-104,USD,N,US,,,,,,,,,,,,,,,EO.US.US.COIN..C250.20260220,,COIN  260220C00250000,COIN US 02/20/26 C250 EQUITY,OP
HRQH,,,COIN,,-640,USD,N,US,,,,,,,,,,,,,,,EO.US.US.COIN..C250.20260220,,COIN  260220C00250000,COIN US 02/20/26 C250 EQUITY,OP
HRQL,,,COIN,,-58,USD,N,US,,,,,,,,,,,,,,,EO.US.US.COIN..C250.20260220,,COIN  260220C00250000,COIN US 02/20/26 C250 EQUITY,OP
HRQP,,,COIN,,-18,USD,N,US,,,,,,,,,,,,,,,EO.US.US.COIN..C250.20260220,,COIN  260220C00250000,COIN US 02/20/26 C250 EQUITY,OP
HRV2,,,COIN,,-50,USD,N,US,,,,,,,,,,,,,,,EO.US.US.COIN..C170.20260306,,COIN  260306C00170000,COIN US 03/06/26 C170 EQUITY,OP
HRQH,,,COIN,,-484,USD,N,US,,,,,,,,,,,,,,,EO.US.US.COIN..C170.20260306,,COIN  260306C00170000,COIN US 03/06/26 C170 EQUITY,OP
HRQL,,,CORZ,,-313,USD,N,US,,,,,,,,,,,,,,,EO.US.US.CORZ..C19.20260220,,CORZ  260220C00019000,CORZ US 02/20/26 C19 EQUITY,OP
HRV6,,,COST,,-124,USD,N,US,,,,,,,,,,,,,,,EO.US.US.COST..C965.20260220,,COST  260220C00965000,COST US 02/20/26 C965 EQUITY,OP
HRQP,,,COST,,-6,USD,N,US,,,,,,,,,,,,,,,EO.US.US.COST..C970.20260220,,COST  260220C00970000,COST US 02/20/26 C970 EQUITY,OP
HRQP,,,COST,,-4,USD,N,US,,,,,,,,,,,,,,,EO.US.US.COST..C980.20260220,,COST  260220C00980000,COST US 02/20/26 C980 EQUITY,OP
HRV6,,,COST,,-135,USD,N,US,,,,,,,,,,,,,,,EO.US.US.COST..C1015.20260306,,COST  260306C01015000,COST US 03/06/26 C1015 EQUITY,OP
HRVP,,,CP,,-103,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.CP..C100.20260220,,CP    260220C00100000,CP CN 02/20/26 C100. Equity,OP
HRQM,,,CP,,-44,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.CP..C105.20260220,,CP    260220C00105000,CP CN 02/20/26 C105. Equity,OP
HRQP,,,CRCL,,-24,USD,N,US,,,,,,,,,,,,,,,EO.US.US.CRCL..C76.20260220,,CRCL  260220C00076000,CRCL US 02/20/26 C76 EQUITY,OP
HRQP,,,CRCL,,-32,USD,N,US,,,,,,,,,,,,,,,EO.US.US.CRCL..C80.20260220,,CRCL  260220C00080000,CRCL US 02/20/26 C80 EQUITY,OP
HRQ5,,,CRCL,,-1398,USD,N,US,,,,,,,,,,,,,,,EO.US.US.CRCL..C85.20260220,,CRCL  260220C00085000,CRCL US 02/20/26 C85 EQUITY,OP
HRQ5,,,CRCL,,-754,USD,N,US,,,,,,,,,,,,,,,EO.US.US.CRCL..C60.20260306,,CRCL  260306C00060000,CRCL US 03/06/26 C60 EQUITY,OP
HR21,,,CRM,,-334,USD,N,US,,,,,,,,,,,,,,,EO.US.US.CRM..C235.20260220,,CRM   260220C00235000,CRM US 02/20/26 C235 EQUITY,OP
HRA8,,,CRWD,,-81,USD,N,US,,,,,,,,,,,,,,,EO.US.US.CRWD..C450.20260220,,CRWD  260220C00450000,CRWD US 02/20/26 C450 EQUITY,OP
HRQP,,,CRWD,,-12,USD,N,US,,,,,,,,,,,,,,,EO.US.US.CRWD..C485.20260220,,CRWD  260220C00485000,CRWD US 02/20/26 C485 EQUITY,OP
HRA8,,,CRWD,,-147,USD,N,US,,,,,,,,,,,,,,,EO.US.US.CRWD..C485.20260220,,CRWD  260220C00485000,CRWD US 02/20/26 C485 EQUITY,OP
HR21,,,CSCO,,-987,USD,N,US,,,,,,,,,,,,,,,EO.US.US.CSCO..C75.20260220,,CSCO  260220C00075000,CSCO US 02/20/26 C75 EQUITY,OP
HRT9,,,CSCO,,-762,USD,N,US,,,,,,,,,,,,,,,EO.US.US.CSCO..C75.20260220,,CSCO  260220C00075000,CSCO US 02/20/26 C75 EQUITY,OP
HRQA,,,CVE,,-486,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.CVE..C26-5.20260220,,CVE   260220C00026500,CVE CN 02/20/26 C26.5 Equity,OP
HRVG,,,CZR,,-30,USD,N,US,,,,,,,,,,,,,,,EO.US.US.CZR..C24-5.20260220,,CZR   260220C00024500,CZR US 02/20/26 C24.5 EQUITY,OP
HRTM,,,D,,-466,USD,N,US,,,,,,,,,,,,,,,EO.US.US.D..C62-5.20260220,,D     260220C00062500,D US 02/20/26 C62.5 EQUITY,OP
HRVG,,,DAL,,-105,USD,N,US,,,,,,,,,,,,,,,EO.US.US.DAL..C70.20260220,,DAL   260220C00070000,DAL US 02/20/26 C70 EQUITY,OP
HRVP,,,DAL,,-108,USD,N,US,,,,,,,,,,,,,,,EO.US.US.DAL..C70.20260220,,DAL   260220C00070000,DAL US 02/20/26 C70 EQUITY,OP
HRVP,,,DE,,-8,USD,N,US,,,,,,,,,,,,,,,EO.US.US.DE..C520.20260220,,DE    260220C00520000,DE US 02/20/26 C520 EQUITY,OP
HRTH,,,DHR,,-426,USD,N,US,,,,,,,,,,,,,,,EO.US.US.DHR..C237-5.20260220,,DHR   260220C00237500,DHR US 02/20/26 C237.5 EQUITY,OP
HRTG,,,DLR,,-17,USD,N,US,,,,,,,,,,,,,,,EO.US.US.DLR..C162-5.20260220,,DLR   260220C00162500,DLR US 02/20/26 C162.5 EQUITY,OP
HRQM,,,DOL,,-28,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.DOL..C200.20260220,,DOL   260220C00200000,DOL CN 02/20/26 C200. Equity,OP
HRQM,,,DSG,,-11,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.DSG..C128.20260220,,DSG   260220C00128000,DSG CN 02/20/26 C128. Equity,OP
HRT0,,,E,,-103,USD,N,US,,,,,,,,,,,,,,,EO.US.US.E..C40.20260220,,E     260220C00040000,E US 02/20/26 C40 EQUITY,OP
HRAS,,,EDV,,-1873,USD,N,US,,,,,,,,,,,,,,,EO.US.US.EDV..C67.20260220,,EDV   260220C00067000,EDV US 02/20/26 C67 EQUITY,OP
HRTM,,,EIX,,-246,USD,N,US,,,,,,,,,,,,,,,EO.US.US.EIX..C62-5.20260220,,EIX   260220C00062500,EIX US 02/20/26 C62.5 EQUITY,OP
HRTH,,,ELV,,-369,USD,N,US,,,,,,,,,,,,,,,EO.US.US.ELV..C380.20260220,,ELV   260220C00380000,ELV US 02/20/26 C380 EQUITY,OP
HRTM,,,EMA,,-400,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.EMA..C69.20260220,,EMA   260220C00069000,EMA CN 02/20/26 C69. Equity,OP
HRQA,,,EMA,,-161,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.EMA..C69.20260220,,EMA   260220C00069000,EMA CN 02/20/26 C69. Equity,OP
HRQM,,,EMA,,-41,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.EMA..C69.20260220,,EMA   260220C00069000,EMA CN 02/20/26 C69. Equity,OP
HRQA,,,ENB,,-178,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.ENB..C75.20260320,,ENB   260320C00075000,ENB CN 03/20/26 C75. Equity,OP
HRQM,,,ENB,,-92,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.ENB..C75.20260320,,ENB   260320C00075000,ENB CN 03/20/26 C75. Equity,OP
HRQ1,,,ENB,,-742,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.ENB..C75.20260320,,ENB   260320C00075000,ENB CN 03/20/26 C75. Equity,OP
HRQS,,,ENB,,-169,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.ENB..C75.20260320,,ENB   260320C00075000,ENB CN 03/20/26 C75. Equity,OP
HRT0,,,EOG,,-33,USD,N,US,,,,,,,,,,,,,,,EO.US.US.EOG..C107.20260220,,EOG   260220C00107000,EOG US 02/20/26 C107 EQUITY,OP
HRTM,,,ES,,-219,USD,N,US,,,,,,,,,,,,,,,EO.US.US.ES..C75.20260220,,ES    260220C00075000,ES US 02/20/26 C75 EQUITY,OP
HRVP,,,ETN,,-12,USD,N,US,,,,,,,,,,,,,,,EO.US.US.ETN..C350.20260220,,ETN   260220C00350000,ETN US 02/20/26 C350 EQUITY,OP
HRVG,,,EXPE,,-9,USD,N,US,,,,,,,,,,,,,,,EO.US.US.EXPE..C277-5.20260220,,EXPE  260220C00277500,EXPE US 02/20/26 C277.5 EQUITY,OP
HRVP,,,FAST,,-60,USD,N,US,,,,,,,,,,,,,,,EO.US.US.FAST..C42-5.20260220,,FAST  260220C00042500,FAST US 02/20/26 C42.5 EQUITY,OP
HRTP,,,FCNCA,,-9,USD,N,US,,,,,,,,,,,,,,,EO.US.US.FCNCA..C2200.20260220,,FCNCA 260220C02200000,FCNCA US 02/20/26 C2200 EQUITY,OP
HRTM,,,FE,,-304,USD,N,US,,,,,,,,,,,,,,,EO.US.US.FE..C48.20260220,,FE    260220C00048000,FE US 02/20/26 C48 EQUITY,OP
HRQM,,,FNV,,-16,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.FNV..C350.20260220,,FNV   260220C00350000,FNV CN 02/20/26 C350. Equity,OP
HRTM,SE0026686958,,FORTUM,,-106800,EUR,N,FI,,,,,,,,,,,,,,,EO.FI.HE.FORTUM..C19-5.20260220,,FORTUM260220C00019500,FORTUM FH 02/20/26 C19.5 Equity,OP
HRTM,FREX02223441,,FT1,,-144100,EUR,N,FR,,,,,,,,,,,,,,,EO.FR.PA.FT1..C15.20260220,,FT1   260220C00015000,FT1 FP 02/20/26 C15 Equity,OP
HRQA,,,FTS,,-160,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.FTS..C78.20260320,,FTS   260320C00078000,FTS CN 03/20/26 C78. Equity,OP
HRQM,,,FTS,,-72,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.FTS..C78.20260320,,FTS   260320C00078000,FTS CN 03/20/26 C78. Equity,OP
HRTM,ES0A06747059,,GAS,,-60800,EUR,N,ES,,,,,,,,,,,,,,,EO.ES.MA.GAS..C26.20260220,,GAS   260220C00026000,GAS SM 02/20/26 C26 Equity,OP
HRVP,,,GD,,-19,USD,N,US,,,,,,,,,,,,,,,EO.US.US.GD..C370.20260220,,GD    260220C00370000,GD US 02/20/26 C370 EQUITY,OP
HRVP,,,GE,,-20,USD,N,US,,,,,,,,,,,,,,,EO.US.US.GE..C325.20260220,,GE    260220C00325000,GE US 02/20/26 C325 EQUITY,OP
HRCL,,,GE,,-2,USD,N,US,,,,,,,,,,,,,,,EO.US.US.GE..C327-5.20260220,,GE    260220C00327500,GE US 02/20/26 C327.5 EQUITY,OP
HRCL,,,GE,,-2,USD,N,US,,,,,,,,,,,,,,,EO.US.US.GE..C342-5.20260220,,GE    260220C00342500,GE US 02/20/26 C342.5 EQUITY,OP
HRCL - TD,,,GE,,-2,USD,N,US,,,,,,,,,,,,,,,EO.US.US.GE..P285.20260220,,GE    260220P00285000,GE US 02/20/26 P285 EQUITY,OP
HRCL - TD,,,GE,,-2,USD,N,US,,,,,,,,,,,,,,,EO.US.US.GE..P300.20260220,,GE    260220P00300000,GE US 02/20/26 P300 EQUITY,OP
HRCL,,,GE,,-3,USD,N,US,,,,,,,,,,,,,,,EO.US.US.GE..C340.20260306,,GE    260306C00340000,GE US 03/06/26 C340 EQUITY,OP
HRCL - TD,,,GE,,-5,USD,N,US,,,,,,,,,,,,,,,EO.US.US.GE..P290.20260306,,GE    260306P00290000,GE US 03/06/26 P290 EQUITY,OP
HRVP,,,GEV,,-3,USD,N,US,,,,,,,,,,,,,,,EO.US.US.GEV..C700.20260220,,GEV   260220C00700000,GEV US 02/20/26 C700 EQUITY,OP
HRQM,,,GIB,,-26,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.GIB..C130.20260220.A,,GIB   260220C00130000,GIB CN 02/20/26 C130 Equity,OP
HRQL,,,GLXY,,-448,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.GLXY..C48.20260220,,GLXY  260220C00048000,GLXY CN 02/20/26 C48. Equity,OP
HR21,,,GOOGL,,-197,USD,N,US,,,,,,,,,,,,,,,EO.US.US.GOOGL..C330.20260220,,GOOGL 260220C00330000,GOOGL US 02/20/26 C330 EQUITY,OP
HRT9,,,GOOGL,,-151,USD,N,US,,,,,,,,,,,,,,,EO.US.US.GOOGL..C330.20260220,,GOOGL 260220C00330000,GOOGL US 02/20/26 C330 EQUITY,OP
HRV7,,,GOOGL,,-600,USD,N,US,,,,,,,,,,,,,,,EO.US.US.GOOGL..C335.20260220,,GOOGL 260220C00335000,GOOGL US 02/20/26 C335 EQUITY,OP
HRQP,,,GOOGL,,-30,USD,N,US,,,,,,,,,,,,,,,EO.US.US.GOOGL..C335.20260220,,GOOGL 260220C00335000,GOOGL US 02/20/26 C335 EQUITY,OP
HRQP,,,GOOGL,,-18,USD,N,US,,,,,,,,,,,,,,,EO.US.US.GOOGL..C342-5.20260220,,GOOGL 260220C00342500,GOOGL US 02/20/26 C342.5 EQUITY,OP
HRCL,,,GOOGL,,-2,USD,N,US,,,,,,,,,,,,,,,EO.US.US.GOOGL..C350.20260220,,GOOGL 260220C00350000,GOOGL US 02/20/26 C350 EQUITY,OP
HRCL,,,GOOGL,,-1,USD,N,US,,,,,,,,,,,,,,,EO.US.US.GOOGL..C365.20260220,,GOOGL 260220C00365000,GOOGL US 02/20/26 C365 EQUITY,OP
HRCL - TD,,,GOOGL,,-2,USD,N,US,,,,,,,,,,,,,,,EO.US.US.GOOGL..P290.20260220,,GOOGL 260220P00290000,GOOGL US 02/20/26 P290 EQUITY,OP
HRCL - TD,,,GOOGL,,-2,USD,N,US,,,,,,,,,,,,,,,EO.US.US.GOOGL..P305.20260220,,GOOGL 260220P00305000,GOOGL US 02/20/26 P305 EQUITY,OP
HRV7,,,GOOGL,,-390,USD,N,US,,,,,,,,,,,,,,,EO.US.US.GOOGL..C335.20260306,,GOOGL 260306C00335000,GOOGL US 03/06/26 C335 EQUITY,OP
HRCL,,,GOOGL,,-4,USD,N,US,,,,,,,,,,,,,,,EO.US.US.GOOGL..C345.20260306,,GOOGL 260306C00345000,GOOGL US 03/06/26 C345 EQUITY,OP
HRCL - TD,,,GOOGL,,-5,USD,N,US,,,,,,,,,,,,,,,EO.US.US.GOOGL..P285.20260306,,GOOGL 260306P00285000,GOOGL US 03/06/26 P285 EQUITY,OP
HRCL,,,GS,,-1,USD,N,US,,,,,,,,,,,,,,,EO.US.US.GS..C1010.20260220,,GS    260220C01010000,GS US 02/20/26 C1010 EQUITY,OP
